s_State,s_Volume,s_state_id,s_lat,s_lon,e_locality,e_locality_id,e_lat,e_lon,e_Volume
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Kabul,AF01,34.49824701,69.58936249,7
Abu Nasr Farahi,2,Z1,32.165039,60.873467,Laghman,AF07,34.64081244,70.1900783,7
Abu Nasr Farahi,3,Z1,32.165039,60.873467,Baghlan,AF09,35.49325056,68.53277247,7
Abu Nasr Farahi,4,Z1,32.165039,60.873467,Bamyan,AF10,34.58652469,66.96577096,7
Abu Nasr Farahi,5,Z1,32.165039,60.873467,Ghazni,AF11,33.08670874,67.76713377,13
Abu Nasr Farahi,6,Z1,32.165039,60.873467,Badakhshan,AF17,36.96012515,70.81030344,7
Abu Nasr Farahi,7,Z1,32.165039,60.873467,Helmand,AF30,30.45946767,63.98577262,7
Abu Nasr Farahi,8,Z1,32.165039,60.873467,Herat,AF32,33.5831282,62.0154714,39
Abu Nasr Farahi,9,Z1,32.165039,60.873467,Farah,AF33,32.38591786,61.81484726,5836
Abu Nasr Farahi,10,Z1,32.165039,60.873467,Nimroz,AF34,30.17532613,62.05989876,7
Angor ada,11,Z2,32.519404,69.272673,Kabul,AF01,34.49824701,69.58936249,2
Angor ada,12,Z2,32.519404,69.272673,Wardak,AF04,33.99065358,68.50437481,2
Angor ada,13,Z2,32.519404,69.272673,Logar,AF05,33.81222497,68.97064639,2
Angor ada,14,Z2,32.519404,69.272673,Ghazni,AF11,33.08670874,67.76713377,14
Angor ada,15,Z2,32.519404,69.272673,Paktika,AF12,32.16908773,68.75111821,603
Angor ada,16,Z2,32.519404,69.272673,Paktya,AF13,33.78548873,69.48005881,16
Angor ada,17,Z2,32.519404,69.272673,Khost,AF14,33.36660279,70.12099483,13
Angor ada,18,Z2,32.519404,69.272673,Badakhshan,AF17,36.96012515,70.81030344,2
Angor ada,19,Z2,32.519404,69.272673,Balkh,AF21,36.26637635,66.86441699,4
Bahramcha,20,Z3,29.42026,64.015136,Kabul,AF01,34.49824701,69.58936249,288
Bahramcha,21,Z3,29.42026,64.015136,Wardak,AF04,33.99065358,68.50437481,230
Bahramcha,22,Z3,29.42026,64.015136,Nangarhar,AF06,34.26170427,70.84096108,29
Bahramcha,23,Z3,29.42026,64.015136,Ghazni,AF11,33.08670874,67.76713377,374
Bahramcha,24,Z3,29.42026,64.015136,Khost,AF14,33.36660279,70.12099483,29
Bahramcha,25,Z3,29.42026,64.015136,Balkh,AF21,36.26637635,66.86441699,29
Bahramcha,26,Z3,29.42026,64.015136,Uruzgan,AF25,33.13214876,66.57881312,58
Bahramcha,27,Z3,29.42026,64.015136,Zabul,AF26,31.89201228,67.5727547,115
Bahramcha,28,Z3,29.42026,64.015136,Kandahar,AF27,30.56124177,65.66789189,690
Bahramcha,29,Z3,29.42026,64.015136,Helmand,AF30,30.45946767,63.98577262,8717
Bahramcha,30,Z3,29.42026,64.015136,Herat,AF32,33.5831282,62.0154714,58
Bahramcha,31,Z3,29.42026,64.015136,Farah,AF33,32.38591786,61.81484726,29
Bahramcha,32,Z3,29.42026,64.015136,Nimroz,AF34,30.17532613,62.05989876,29
DAK,33,Z4,29.799839,61.130067,Nimroz,AF34,30.17532613,62.05989876,457
Ghulam Khan,34,Z5,33.150936,70.029985,Kabul,AF01,34.49824701,69.58936249,103
Ghulam Khan,35,Z5,33.150936,70.029985,Wardak,AF04,33.99065358,68.50437481,141
Ghulam Khan,36,Z5,33.150936,70.029985,Logar,AF05,33.81222497,68.97064639,620
Ghulam Khan,37,Z5,33.150936,70.029985,Baghlan,AF09,35.49325056,68.53277247,9
Ghulam Khan,38,Z5,33.150936,70.029985,Bamyan,AF10,34.58652469,66.96577096,9
Ghulam Khan,39,Z5,33.150936,70.029985,Ghazni,AF11,33.08670874,67.76713377,1841
Ghulam Khan,40,Z5,33.150936,70.029985,Paktika,AF12,32.16908773,68.75111821,20006
Ghulam Khan,41,Z5,33.150936,70.029985,Paktya,AF13,33.78548873,69.48005881,2226
Ghulam Khan,42,Z5,33.150936,70.029985,Khost,AF14,33.36660279,70.12099483,25858
Ghulam Khan,43,Z5,33.150936,70.029985,Kunar,AF15,35.1424301,71.40040294,19
Ghulam Khan,44,Z5,33.150936,70.029985,Kunduz,AF19,36.58556692,68.75139082,9
Ghulam Khan,45,Z5,33.150936,70.029985,Ghor,AF23,33.87777321,64.83964775,9
Ghulam Khan,46,Z5,33.150936,70.029985,Kandahar,AF27,30.56124177,65.66789189,9
Ghulam Khan,47,Z5,33.150936,70.029985,Helmand,AF30,30.45946767,63.98577262,9
